"Date	Close	Volume	Company_ticker	Company_name	Field	Dis_category	Rate_of_Return	Date1	Close1	Volume1	Company_ticker1	Company_name1	Field	Dis_category	Rate_of_Return1"
"10/24/2017	26.23	5339512	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.017234919	10/25/2017	52.22	1216743	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.002673797"
"10/23/2017	26.69	5644300	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.029454545	10/24/2017	52.36	1639544	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.03572744"
"10/20/2017	27.5	8879892	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.004749726	10/23/2017	54.3	570017	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.036550745"
"10/19/2017	27.37	5743185	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.006990434	10/20/2017	56.36	942644	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.023796549"
"10/18/2017	27.18	8363299	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.011160714	10/19/2017	55.05	893632	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.011314655"
"10/17/2017	26.88	4726561	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.007118771	10/18/2017	55.68	840439	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.001618996"
"10/16/2017	26.69	5916967	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.006410256	10/17/2017	55.59	562647	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.005545617"
"10/13/2017	26.52	9834312	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.014537108	10/16/2017	55.9	689717	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.00287047"
"10/12/2017	26.14	13160657	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.001148985	10/13/2017	55.74	1256459	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.036444775"
"10/11/2017	26.11	15001790	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.024654464	10/12/2017	53.78	2221268	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.068421964"
